City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,kadinhani,38.2397,32.2114,-3.65,82,100,4.78,TR,1706589200
336,yarkovo,57.4028,67.0786,-19.97,100,100,1.76,RU,1706589200
337,chacabuco,-34.6417,-60.4739,22.12,46,2,2.8,AR,1706589201
338,farafangana,-22.8167,47.8333,24.51,73,75,2.51,MG,1706589201
339,gao,16.6362,1.637,16.36,20,3,7.0,ML,1706589201
340,luga,58.7372,29.8453,-0.12,97,100,1.9,RU,1706589085
341,dunedin,-45.8742,170.5036,17.67,74,49,4.02,NZ,1706589201
342,luderitz,-26.6481,15.1594,18.62,58,1,3.27,NA,1706589202
343,cosenza,39.31,16.2502,6.39,92,5,7.72,IT,1706589202
344,nar'yan-mar,67.6713,53.087,-2.16,96,100,9.39,RU,1706589202
345,rio grande,-32.035,-52.0986,19.93,82,12,3.24,BR,1706589061
346,kirakira,-10.4544,161.9205,27.54,86,98,4.14,SB,1706589202
347,richards bay,-28.783,32.0377,24.61,77,27,4.65,ZA,1706589203
348,barcelos,41.5388,-8.6151,13.84,78,84,2.35,PT,1706589203
349,barkly west,-28.5354,24.5215,20.6,41,57,0.91,ZA,1706589203
350,holualoa,19.6228,-155.9522,24.91,85,75,7.2,US,1706589203
351,kasongo-lunda,-6.4667,16.8167,21.52,99,100,0.84,CD,1706589203
352,inhambane,-23.865,35.3833,26.18,77,28,3.69,MZ,1706589204
353,mil'kovo,55.6078,37.7956,0.33,87,100,5.39,RU,1706589204
354,quellon,-43.1167,-73.6167,11.02,80,81,1.2,CL,1706589146
355,san pedro pochutla,15.7333,-96.4667,22.07,64,0,1.26,MX,1706589204
356,zaozersk,69.4005,32.4476,-2.11,73,49,18.02,RU,1706589196
357,katsuura,35.1333,140.3,11.66,56,8,2.71,JP,1706589205
358,klyuchi,52.2667,79.1667,-13.48,89,95,3.24,RU,1706589205
359,chibougamau,49.9168,-74.3659,-20.21,77,0,1.54,CA,1706589205
